country,incidents,deaths,mean_severity,recent,recency,frequency_n,lethality_n,intensity_n,recency_n,pressure_index
Chad,91,1119.0,21.532967032967033,51.0,0.5604395604395604,0.4064868171188182,0.6228782934557353,0.2658390991724325,0.5604395604395604,0.4734000138260468
Ethiopia,190,1765.0,12.48421052631579,72.0,0.37894736842105264,0.48404238612766154,0.6632782603846569,0.15412605588044184,0.37894736842105264,0.4725614462116859
China,252,1008.0,7.654761904761905,113.0,0.44841269841269843,0.5138884753571052,0.6136191605328145,0.09450323339212229,0.44841269841269843,0.4710785280734095
Rwanda,159,3236.0,23.251572327044027,27.0,0.16981132075471697,0.4652397220831088,0.7170335732422876,0.28705644848202505,0.16981132075471697,0.4697361261914411
Angola,499,3043.0,8.55811623246493,11.0,0.022044088176352707,0.586213448040841,0.7115798350998473,0.10565575595635715,0.022044088176352707,0.4671143063661971
Tunisia,109,351.0,5.206422018348624,93.0,0.8532110091743119,0.4254585224653077,0.5201944028424926,0.06427681504134103,0.8532110091743119,0.4638649034712188
Italy,1565,420.0,0.6808306709265176,69.0,0.044089456869009586,0.7074247288130282,0.5360746070788159,0.008405316925018736,0.044089456869009586,0.4516664897179603
Chile,2365,228.0,0.25602536997885833,78.0,0.03298097251585624,0.7512385532625809,0.4820548373871238,0.0031608070367760287,0.03298097251585624,0.45053313945406437
Mexico,524,780.0,2.140267175572519,89.0,0.16984732824427481,0.5913934992616535,0.5908956086933602,0.02642305155027801,0.16984732824427481,0.4432666392818524
Argentina,815,490.0,1.0644171779141105,18.0,0.022085889570552148,0.6382161731874643,0.5497200380233933,0.01314095281375445,0.022085889570552148,0.42548650703964974
Ireland,307,117.0,0.43159609120521175,162.0,0.5276872964169381,0.5347732052448165,0.42323320909089124,0.005328346805002614,0.5276872964169381,0.4208315913084851
Bahrain,207,44.0,0.6690821256038647,166.0,0.8019323671497585,0.4930949333042243,0.33770959690127583,0.008260273155603268,0.8019323671497585,0.4200797484378767
Burkina Faso,52,134.0,4.6826923076923075,49.0,0.9423076923076923,0.34793442210943387,0.4351734288417012,0.05781101614434948,0.9423076923076923,0.41974360376409015
Ivory Coast,74,268.0,4.777027027027027,49.0,0.6621621621621622,0.38479623903925647,0.4963370747634411,0.058975642308975645,0.6621621621621622,0.41099028871540555
Georgia,217,278.0,2.184331797235023,81.0,0.37327188940092165,0.4980803557087236,0.4995752226563567,0.02696705922512374,0.37327188940092165,0.4091405513743033
Germany,735,84.0,0.5789115646258504,170.0,0.23129251700680273,0.6272611039029506,0.3941315966503812,0.00714705635340556,0.23129251700680273,0.40490985656032585
Canada,96,365.0,4.5625,44.0,0.4583333333333333,0.4121055879290557,0.5236544949902513,0.05632716049382716,0.4583333333333333,0.3991376577427717
Malaysia,99,152.0,2.0454545454545454,58.0,0.5858585858585859,0.4153394416699087,0.44627732751080657,0.025252525252525252,0.5858585858585859,0.3916856415878721
