country,atk_Armed Assault,atk_Assassination,atk_Bombing/Explosion,atk_Facility/Infrastructure Attack,atk_Hijacking,atk_Hostage Taking (Barricade Incident),atk_Hostage Taking (Kidnapping),atk_Unarmed Assault,atk_Unknown,tgt_Abortion Related,tgt_Airports & Aircraft,tgt_Business,tgt_Educational Institution,tgt_Food or Water Supply,tgt_Government (Diplomatic),tgt_Government (General),tgt_Journalists & Media,tgt_Maritime,tgt_Military,tgt_NGO,tgt_Other,tgt_Police,tgt_Private Citizens & Property,tgt_Religious Figures/Institutions,tgt_Telecommunication,tgt_Terrorists/Non-State Militia,tgt_Tourists,tgt_Transportation,tgt_Unknown,tgt_Utilities,tgt_Violent Political Party,suicide_rate,lethality_rate,mean_severity,incidents,cluster,pc1,pc2
Papua New Guinea,0.3707865168539326,0.16853932584269662,0.1348314606741573,0.10112359550561797,0.02247191011235955,0.02247191011235955,0.06741573033707865,0.0,0.11235955056179775,0.0,0.011235955056179775,0.1348314606741573,0.056179775280898875,0.011235955056179775,0.033707865168539325,0.25842696629213485,0.011235955056179775,0.011235955056179775,0.12359550561797752,0.011235955056179775,0.0,0.14606741573033707,0.0898876404494382,0.011235955056179775,0.011235955056179775,0.0,0.0,0.0449438202247191,0.0,0.033707865168539325,0.0,0.0,0.2696629213483146,1.398876404494382,89,2,-0.4175696649935477,-1.3638511539713918
Paraguay,0.23684210526315788,0.12280701754385964,0.14035087719298245,0.14912280701754385,0.017543859649122806,0.03508771929824561,0.18421052631578946,0.08771929824561403,0.02631578947368421,0.0,0.0,0.2631578947368421,0.008771929824561403,0.0,0.02631578947368421,0.09649122807017543,0.03508771929824561,0.0,0.06140350877192982,0.0,0.0,0.15789473684210525,0.16666666666666666,0.0,0.0,0.017543859649122806,0.0,0.12280701754385964,0.0,0.043859649122807015,0.0,0.0,0.2894736842105263,0.8201754385964912,114,1,-1.2884081546170507,-1.7701285874619122
Peru,0.2178477690288714,0.1643700787401575,0.510990813648294,0.03658136482939633,0.0013123359580052493,0.012139107611548556,0.01591207349081365,0.0006561679790026247,0.04019028871391076,0.0,0.006069553805774278,0.19094488188976377,0.02477034120734908,0.008366141732283465,0.019192913385826772,0.1646981627296588,0.02575459317585302,0.0016404199475065617,0.08316929133858268,0.00213254593175853,0.0,0.12450787401574803,0.16929133858267717,0.0073818897637795275,0.009678477690288715,0.00557742782152231,0.0026246719160104987,0.042979002624671914,0.00426509186351706,0.10695538057742782,0.0,0.0,0.36400918635170604,2.429461942257218,6096,2,-1.1509096354394726,0.6958359173839817
Philippines,0.3123914302258251,0.1590909090909091,0.32035321366531555,0.06543138390272148,0.004921829762594094,0.007672264041690793,0.08714533873769542,0.0005790387955993051,0.0424145917776491,0.0,0.0037637521713954833,0.14128546612623047,0.021569195136074117,0.0023161551823972205,0.004632310364794441,0.19195136074116967,0.014620729588882456,0.005935147654892878,0.2274174869716271,0.0033294730746960045,0.0005790387955993051,0.09163288940359005,0.1647365373480023,0.017226404169079328,0.012159814707585408,0.008251302837290099,0.0023161551823972205,0.03126809496236248,0.027070063694267517,0.027793862188766647,0.00014475969889982628,0.0013028372900984366,0.45657209033005214,2.3512594093804284,6908,2,0.35221797896440377,0.6734721012730204
Portugal,0.03571428571428571,0.1357142857142857,0.7357142857142858,0.04285714285714286,0.0,0.0,0.02142857142857143,0.0,0.02857142857142857,0.0,0.03571428571428571,0.17857142857142858,0.014285714285714285,0.0,0.10714285714285714,0.18571428571428572,0.02142857142857143,0.0,0.08571428571428572,0.0,0.0,0.09285714285714286,0.17857142857142858,0.007142857142857143,0.0,0.007142857142857143,0.007142857142857143,0.014285714285714285,0.03571428571428571,0.014285714285714285,0.014285714285714285,0.0,0.15,0.5678571428571428,140,1,-2.4311906717793335,1.4831576311373533
Rhodesia,0.1566265060240964,0.1927710843373494,0.4819277108433735,0.060240963855421686,0.0,0.012048192771084338,0.04819277108433735,0.0,0.04819277108433735,0.0,0.04819277108433735,0.18072289156626506,0.0,0.0,0.0,0.1686746987951807,0.012048192771084338,0.0,0.024096385542168676,0.03614457831325301,0.0,0.012048192771084338,0.20481927710843373,0.13253012048192772,0.0,0.0,0.0,0.13253012048192772,0.012048192771084338,0.03614457831325301,0.0,0.0,0.4819277108433735,3.566265060240964,83,2,-0.551532376821877,-1.017334624012988
Russia,0.26390154968094803,0.11531449407474932,0.52461257976299,0.02917046490428441,0.007748404740200547,0.004102096627164996,0.033272561531449404,0.01276207839562443,0.009115770282588878,0.0,0.0054694621695533276,0.09070191431175935,0.012306289881494986,0.00045578851412944393,0.005013673655423883,0.18003646308113036,0.018231540565177756,0.0,0.09480401093892434,0.010483135824977211,0.00045578851412944393,0.27711941659070194,0.12351868732907931,0.04557885141294439,0.005925250683682771,0.0013673655423883319,0.0018231540565177757,0.07110300820419325,0.03509571558796718,0.01959890610756609,0.0009115770282588879,0.03919781221513218,0.45396536007292615,3.6592980856882407,2194,2,-0.043035773399854864,2.039461274121315
Rwanda,0.3710691823899371,0.16981132075471697,0.29559748427672955,0.0,0.0,0.0,0.018867924528301886,0.006289308176100629,0.13836477987421383,0.0,0.0,0.0880503144654088,0.012578616352201259,0.0,0.06289308176100629,0.18238993710691823,0.0,0.0,0.018867924528301886,0.031446540880503145,0.0,0.0440251572327044,0.39622641509433965,0.06918238993710692,0.0,0.0,0.0,0.07547169811320754,0.006289308176100629,0.012578616352201259,0.0,0.0,0.7672955974842768,23.251572327044027,159,0,3.8939620274971483,-1.3787403373231228
Saudi Arabia,0.2560646900269542,0.0215633423180593,0.6361185983827493,0.02425876010781671,0.018867924528301886,0.0026954177897574125,0.016172506738544475,0.0,0.02425876010781671,0.0,0.03234501347708895,0.06199460916442048,0.013477088948787063,0.0026954177897574125,0.013477088948787063,0.03773584905660377,0.0026954177897574125,0.0,0.20485175202156333,0.0,0.0,0.2776280323450135,0.261455525606469,0.04851752021563342,0.0,0.0,0.0026954177897574125,0.0,0.02425876010781671,0.016172506738544475,0.0,0.0673854447439353,0.522911051212938,4.056603773584905,371,2,1.2398406909847772,2.423678862943332
Senegal,0.5338983050847458,0.07627118644067797,0.16101694915254236,0.01694915254237288,0.025423728813559324,0.0,0.059322033898305086,0.00847457627118644,0.11864406779661017,0.0,0.00847457627118644,0.05084745762711865,0.025423728813559324,0.0,0.00847457627118644,0.1440677966101695,0.0,0.0,0.2711864406779661,0.0,0.0,0.06779661016949153,0.23728813559322035,0.01694915254237288,0.0,0.01694915254237288,0.01694915254237288,0.11864406779661017,0.00847457627118644,0.00847457627118644,0.0,0.0,0.711864406779661,4.122881355932203,118,2,2.9864554258328253,-0.14692607579856448
